"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1120","Creating auth token using valid user credentials","chromium","Mon Jul 07 11:05:55 IST 2025","passed","Mon Jul 07 11:05:56 IST 2025","","API_specFiles\login.spec.js","",""
"","257181","Scheduling demo for smart moving","chromium","Mon Jul 07 11:06:09 IST 2025","failed","Mon Jul 07 11:10:26 IST 2025","Smart moving Tests","UI_specFiles\loginSmart.spec.js","",""
"","79099","Login with Excel data","chromium","Mon Jul 07 11:06:21 IST 2025","passed","Mon Jul 07 11:07:40 IST 2025","Login Tests","UI_specFiles\login.spec.js","",""
"","25435","Login using .env credentials","chromium","Mon Jul 07 11:05:55 IST 2025","passed","Mon Jul 07 11:06:21 IST 2025","Login Tests","UI_specFiles\login.spec.js","",""
"","13192","Launching smart moving and verifying contact us page","chromium","Mon Jul 07 11:05:55 IST 2025","passed","Mon Jul 07 11:06:08 IST 2025","Smart moving Tests","UI_specFiles\loginSmart.spec.js","",""
